id,client_name,software,vendor,contract_start,contract_expiry,contract_value,last_contact,account_manager
1,RBC Bank,IBM Security QRadar,IBM,2024-08-06,2026-08-06,150000,2026-02-09,David Thompson
2,Shell Canada,Commvault Backup,Commvault,2025-06-12,2026-06-12,150000,2026-02-09,Elena Vasquez
3,Rogers Communications,Commvault Disaster Recovery,Commvault,2025-11-13,2026-11-13,30000,2026-02-14,David Thompson
4,Bell Canada,HP Aruba Network,HP,2026-03-20,2028-03-19,30000,2026-05-02,Elena Vasquez
5,TD Bank,Fortinet FortiAnalyzer,Fortinet,2024-12-12,2025-12-12,15000,2026-01-28,Marcus Chen
6,Scotiabank,Fortinet FortiAnalyzer,Fortinet,2024-12-06,2026-12-06,50000,2026-04-02,Priya Sharma
7,CIBC,Kaspersky Endpoint Security,Kaspersky,2024-05-22,2026-05-22,10000,2026-02-25,Elena Vasquez
8,BMO Financial,Fortinet FortiAnalyzer,Fortinet,2024-11-16,2026-11-16,100000,2026-04-21,David Thompson
9,Enbridge Inc,HP Aruba Network,HP,2024-08-30,2026-08-30,20000,2026-05-19,Priya Sharma
10,Suncor Energy,Cisco Webex,Cisco,2025-02-26,2026-02-26,15000,2026-01-30,Marcus Chen
11,Canadian Tire,Fortinet FortiGate,Fortinet,2024-11-09,2026-11-09,150000,2026-03-11,Priya Sharma
12,Loblaw Companies,Commvault Disaster Recovery,Commvault,2025-08-12,2026-08-12,30000,2026-02-16,James Okafor
13,Air Canada,Fortinet FortiAnalyzer,Fortinet,2025-03-06,2026-03-06,100000,2026-04-04,Marcus Chen
14,WestJet,Fortinet FortiGate,Fortinet,2025-12-07,2026-12-07,100000,2026-04-02,Elena Vasquez
15,Manulife,Oracle Database License,Oracle,2025-08-04,2026-08-04,50000,2026-01-30,James Okafor
16,Sun Life Financial,IBM Maximo,IBM,2024-05-27,2026-05-27,75000,2026-04-09,Priya Sharma
17,Telus Corporation,HP Aruba Network,HP,2025-07-27,2026-07-27,150000,2026-03-05,Marcus Chen
18,Shaw Communications,Oracle Cloud ERP,Oracle,2025-07-29,2027-07-29,100000,2026-02-28,Priya Sharma
